(t_index)(term           )(df )
(879    )(deepli         )(2  )
(880    )(deepsea        )(1  )
(881    )(deepwat        )(1  )
(882    )(default        )(1  )
(883    )(defeat         )(27 )
(884    )(defenc         )(1  )
(885    )(defend         )(17 )
(886    )(defens         )(35 )
(887    )(defianc        )(1  )
(888    )(defiant        )(3  )
(889    )(deficit        )(1  )
(890    )(defolt         )(1  )
(891    )(deforest       )(6  )
(892    )(degre          )(1  )
(893    )(delawar        )(4  )
(894    )(delay          )(5  )
(895    )(delhi          )(3  )
(896    )(deliber        )(1  )
(897    )(demand         )(14 )
(898    )(demis          )(1  )
(899    )(democraci      )(7  )
(900    )(democrat       )(38 )
(901    )(demonstr       )(15 )
(902    )(deni           )(9  )
(903    )(denis          )(2  )
(904    )(denounc        )(1  )
(905    )(denver         )(2  )
(906    )(depart         )(18 )
(907    )(depend         )(1  )
(908    )(depth          )(8  )
(909    )(deputi         )(2  )
(910    )(dequia         )(1  )
(911    )(deriv          )(1  )
(912    )(descend        )(4  )
(913    )(describ        )(8  )
(914    )(descript       )(1  )
(915    )(desert         )(1  )
(916    )(design         )(5  )
(917    )(despair        )(1  )
(918    )(desper         )(8  )
(919    )(despit         )(18 )
(920    )(despot         )(1  )
(921    )(destroy        )(61 )
(922    )(destroyer:     )(1  )
(923    )(destruct       )(2  )
(924    )(desvid         )(1  )
(925    )(detail         )(6  )
(926    )(detain         )(2  )
(927    )(detector       )(1  )
(928    )(detent         )(1  )
(929    )(deter          )(1  )
(930    )(deterior       )(1  )
(931    )(determin       )(11 )
(932    )(deutch         )(1  )
(933    )(devast         )(28 )
(934    )(develop        )(7  )
(935    )(devic          )(1  )
(936    )(devot          )(1  )
(937    )(diarrhea       )(1  )
(938    )(dick           )(4  )
(939    )(dictat         )(3  )
(940    )(didnt          )(7  )
(941    )(die            )(20 )
(942    )(differ         )(10 )
(943    )(difficult      )(4  )
(944    )(difficulti     )(1  )
(945    )(dig            )(7  )
(946    )(dinkic         )(1  )
(947    )(diplomat       )(3  )
(948    )(direct         )(1  )
(949    )(directli       )(1  )
(950    )(director       )(6  )
