t_indexterm           df 
3229   here           1  
3230   heritag        3  
3231   herliter       1  
3232   hermion        2  
3233   hero           22 
3234   hero:          1  
3235   heroesbatman   1  
3236   heroic         1  
3237   heroin         2  
3238   heron          1  
3239   hershey        1  
3240   hess           1  
3241   hester         1  
3242   hg             1  
3243   hibern         1  
3244   hiccup         1  
3245   hick           3  
3246   hidden         10 
3247   hide           6  
3248   hideandseek    1  
3249   hideaway       2  
3250   hideou         1  
3251   hideout        1  
3252   hideput        1  
3253   hidetori       1  
3254   hieroglyph     1  
3255   high           46 
3256   highadrenalin  1  
3257   highclass      1  
3258   highest        4  
3259   highfli        1  
3260   highli         5  
3261   highpow        1  
3262   highpressur    1  
3263   highpric       1  
3264   highqual       1  
3265   highschool     4  
3266   highsecur      1  
3267   highsmith      2  
3268   highspe        2  
3269   highstak       2  
3270   hightech       2  
3271   highway        2  
3272   hijack         2  
3273   hijinx         1  
3274   hilar          1  
3275   hilari         4  
3276   hill           8  
3277   hillard        1  
3278   hillbilli      1  
3279   him            2  
3280   him:           1  
3281   him;           1  
3282   himalayan      1  
3283   himself        1  
3284   himself:       1  
3285   hinder         1  
3286   hippo          1  
3287   hire           18 
3288   hiro           1  
3289   hirsch         1  
3290   histori        10 
3291   history:       1  
3292   hit            22 
3293   hitandrun      1  
3294   hitch          1  
3295   hitchen        1  
3296   hitchhik       2  
3297   hitler         1  
3298   hiv            1  
3299   hiv+           1  
3300   hive           2  
3301   hivposit       1  
3302   hm             1  
3303   hobbi          1  
3304   hobbit         2  
3305   hobbits:       1  
3306   hockey         4  
3307   hocki          1  
3308   hoffman        2  
3309   hogarth        1  
3310   hoggett        1  
3311   hogwart        5  
3312   hoitz          1  
3313   hold           9  
3314   hole           4  
3315   holeinthewal   1  
3316   holi           4  
3317   holiday        11 
3318   holist         1  
3319   holli          4  
3320   holliday       1  
3321   hollow         1  
3322   hollywood      12 
3323   holm           3  
3324   holtzmann      1  
3325   homag          1  
3326   home           60 
3327   home;          2  
3328   homeless       3  
3329   homemad        1  
3330   homemak        1  
3331   homer          2  
3332   homeschool     1  
3333   homesick       1  
3334   homestead      3  
3335   hometown       8  
3336   homeworld      1  
3337   homicid        7  
3338   homophob       1  
3339   honesdal       1  
3340   honest         3  
3341   honestli       1  
3342   honey          1  
3343   honeymoon      2  
3344   hong           2  
3345   honor          4  
3346   honore         1  
3347   hood           2  
3348   hook           2  
3349   hooker         2  
3350   hoover         1  
3351   hope           18 
3352   hopelessli     1  
3353   hopkin         1  
3354   hopp           1  
3355   horcrux        2  
3356   horizon        2  
3357   horner         1  
3358   horowitz       1  
3359   horribl        3  
3360   horrid         1  
3361   horrif         3  
3362   horrifi        1  
3363   horror         3  
3364   horseman       1  
3365   hospit         15 
3366   host           2  
3367   hostag         4  
3368   hostel         1  
3369   hostil         2  
3370   hot            4  
3371   hotel          11 
3372   hoth           1  
3373   hothead        2  
3374   hotlin         1  
3375   hotshot        3  
3376   hottest        1  
3377   hour           9  
3378   hous           30 
3379   household      5  
3380   househusband   1  
3381   housekeep      2  
3382   housemaid      1  
3383   housewarm      1  
3384   housewif       1  
3385   how!           1  
3386   howard         7  
3387   howev          35 
3388   hrothgar       1  
3389   hubbi          1  
3390   hubert         1  
3391   hudson         1  
3392   huff           1  
3393   huge           7  
3394   hugh           4  
3395   hugo           1  
3396   hulk           1  
3397   hulm           1  
3398   human          45 
3399   humanist       1  
3400   humanitarian   1  
3401   humankind      3  
3402   humanlik       1  
3403   humanoid       1  
3404   humbert        1  
3405   humbl          2  
3406   humili         1  
3407   humor          1  
3408   hundr          3  
3409   hung           1  
3410   hungari        1  
3411   hungarian      1  
3412   hunger         1  
3413   hungerpain     1  
3414   hungri         3  
3415   hunley         1  
3416   hunt           19 
3417   hunter         7  
3418   huntergratzn   1  
3419   huntsvil       1  
3420   hurrican       1  
3421   hurt           1  
3422   hurtl          1  
3423   husband        22 
3424   hustl          1  
3425   hustler        1  
3426   hut            1  
3427   hutt           1  
3428   hutu           1  
3429   hyde           1  
3430   hynkel         1  
3431   hyperion       1  
3432   hypnosi        1  
3433   hypnot         1  
3434   hypochondriac  1  
3435   hyster         1  
3436   ibn            1  
3437   ice            7  
3438   ichabod        1  
3439   ichimonji      1  
3440   ici            1  
3441   icon           1  
3442   iconoclast     1  
3443   idaho          1  
3444   idea           8  
3445   ideal          3  
3446   idealist       5  
3447   ident          8  
3448   identifi       2  
3449   idgi           1  
3450   idol           3  
3451   idyl           4  
3452   ignit          2  
3453   ignor          2  
3454   ii             12 
3455   iii            1  
3456   ilbas          1  
3457   ill            4  
3458   illeg          2  
3459   illfat         1  
3460   illfortun      1  
3461   illinoi        3  
3462   illuminati     1  
3463   illus          2  
3464   illusionist    1  
3465   illustri       1  
3466   imagin         11 
3467   imf            2  
3468   immatur        1  
3469   immedi         6  
3470   immens         1  
3471   immers         1  
3472   immigr         1  
3473   immin          1  
3474   immort         5  
3475   immun          1  
3476   impair         1  
3477   impart         1  
3478   impass         1  
3479   impati         1  
3480   impedi         1  
3481   imperfect      1  
3482   imperi         4  
3483   imperson       1  
3484   impetu         2  
3485   implic         1  
3486   import         5  
3487   imposs         7  
3488   impregn        1  
3489   impress        1  
3490   impressionist  3  
3491   imprison       9  
3492   impromptu      2  
3493   improp         1  
3494   improv         2  
3495   impun          1  
3496   inadvert       2  
3497   inbr           1  
3498   inc            1  
3499   incarcer       2  
3500   incendi        1  
3501   inch           1  
3502   incid          5  
3503   inclin         1  
3504   includ         20 
3505   incompet       1  
3506   incorrig       1  
3507   increas        2  
3508   increasingli   6  
3509   incred         10 
3510   incur          1  
3511   indecis        1  
3512   indentur       1  
3513   independ       3  
3514   india          8  
3515   indian         6  
3516   indiana        1  
3517   indiffer       1  
3518   indigen        1  
3519   indio          1  
3520   individu       4  
3521   indr           1  
3522   induc          1  
3523   indulg         1  
3524   industri       3  
3525   industrialist  2  
3526   inescap        1  
3527   inevit         4  
3528   inexor         1  
3529   inexperienc    1  
3530   inexplic       4  
3531   inextric       1  
3532   inez           1  
3533   infal          1  
3534   infam          4  
3535   infantri       1  
