t_indexterm           df 
1296   coal           1  
1297   coast          3  
1298   coastal        2  
1299   coastlin       1  
1300   coax           1  
1301   cobb           2  
1302   cobra          1  
1303   cocain         2  
1304   cochran        1  
1305   cocki          5  
1306   cockroach      1  
1307   cocktailparti  1  
1308   code           6  
1309   codenam        1  
1310   coerc          1  
1311   coffe          1  
1312   cohen          1  
1313   cohl           1  
1314   col            5  
1315   cold           6  
1316   coldbutintellectu1  
1317   cole           7  
1318   coleman        2  
1319   colin          1  
1320   collabor       1  
1321   collaps        2  
1322   colleagu       3  
1323   collect        5  
1324   collector      4  
1325   colleg         23 
1326   collegi        1  
1327   collegian      1  
1328   collier        1  
1329   collin         4  
1330   collis         2  
1331   colombian      2  
1332   colonel        3  
1333   coloni         7  
1334   colonist       1  
1335   color          4  
1336   colorado       3  
1337   colour         1  
1338   colter         1  
1339   coltran        1  
1340   column         2  
1341   coma           1  
1342   combat         6  
1343   combin         7  
1344   come           58 
1345   comeback       1  
1346   comedi         11 
1347   comedian       1  
1348   comedy:        1  
1349   comedyadventure!1  
1350   comfort        1  
1351   comic          10 
1352   comingofag     1  
1353   command        13 
1354   commando       1  
1355   commerci       4  
1356   commit         12 
1357   committe       3  
1358   commod         1  
1359   common         7  
1360   commonplac     1  
1361   commun         9  
1362   commut         1  
1363   compani        20 
1364   companion      6  
1365   companionship  1  
1366   companyst      1  
1367   compar         2  
1368   compart        1  
1369   compassion     1  
1370   compel         1  
1371   compet         4  
1372   competit       4  
1373   competitor     1  
1374   complement     1  
1375   complet        9  
1376   complex        5  
1377   complic        3  
1378   compos         4  
1379   compound       3  
1380   compris        1  
1381   compromis      1  
1382   compuls        1  
1383   comput         10 
1384   comrad         1  
1385   con            6  
1386   conan          1  
1387   conced         1  
1388   conceit        1  
1389   concentr       2  
1390   concern        5  
1391   concert        1  
1392   concierg       1  
1393   conclus        2  
1394   concoct        1  
1395   concord        1  
1396   concuss        1  
1397   condit         6  
1398   conduct        2  
1399   confeder       1  
1400   confess        3  
1401   confession;    1  
1402   confid         1  
1403   confin         3  
1404   conflict       4  
1405   confluenc      1  
1406   confront       9  
1407   confus         3  
1408   congeni        1  
1409   congression    2  
1410   congressman    1  
1411   conjoin        1  
1412   conjur         1  
1413   conlon         1  
1414   conman         1  
1415   conmen         1  
1416   connect        8  
1417   connected:     1  
1418   connecticut    2  
1419   conneri        1  
1420   conni          2  
1421   connor         5  
1422   conquistador   1  
1423   conrad         1  
1424   conroy         1  
1425   conscienc      1  
1426   conscienti     1  
1427   conscious      1  
1428   consequ        1  
1429   conserv        1  
1430   consid         6  
1431   consist        4  
1432   consol         1  
1433   consolid       1  
1434   consort        1  
1435   conspir        3  
1436   conspiraci     4  
1437   constabl       1  
1438   constant       5  
1439   constantin     1  
1440   constantli     4  
1441   constitut      1  
1442   constraint     1  
1443   construct      1  
1444   consult        1  
1445   consum         3  
1446   contact        10 
1447   contain        1  
1448   contemporari   5  
1449   content        2  
1450   contin         1  
1451   continu        13 
1452   contract       8  
1453   contractor     3  
1454   control        13 
1455   controversi    1  
1456   conven         1  
1457   conveni        2  
1458   convent        2  
1459   converg        1  
1460   convert        1  
1461   convict        11 
1462   convinc        7  
1463   conway         2  
1464   cook           3  
1465   cooki          1  
1466   cool           2  
1467   coonass        1  
1468   cooper         4  
1469   cop            17 
1470   cop;           1  
1471   cope           3  
1472   copeland       1  
1473   copenhagen     1  
1474   copi           1  
1475   copiou         1  
1476   coralin        1  
1477   core           1  
1478   corey          1  
1479   corki          1  
1480   corleon        2  
1481   corn           1  
1482   corner         1  
1483   corni          1  
1484   cornwal        2  
1485   coron          1  
1486   corp           3  
1487   corpor         12 
1488   correct        1  
1489   correspond     1  
1490   corrupt        7  
1491   cortez         1  
1492   corusc         2  
1493   cosgrov        1  
1494   cosmic         1  
1495   cost           1  
1496   costello       1  
1497   costigan       1  
1498   costum         1  
1499   cotti          1  
1500   couch          2  
1501   could          16 
1502   couldnt        2  
1503   council        2  
1504   counselor      2  
1505   count          5  
1506   counter        1  
1507   counterterror  1  
1508   counterterrorist1  
1509   counti         7  
1510   countri        16 
1511   countrysid     3  
1512   coup           1  
1513   coupl          20 
1514   courag         3  
1515   cours          5  
1516   court          5  
1517   courtney       2  
1518   courtprocess   1  
1519   courtroom      2  
1520   courtyard      1  
1521   cousin         5  
1522   cover          11 
1523   covert         1  
1524   covertop       1  
1525   coverup        2  
1526   covet          1  
